iter	Passed	Remaining
0	6	6374
1	15	7486
2	25	8611
3	38	9539
4	49	9867
5	60	9994
6	69	9907
7	78	9708
8	84	9326
9	90	8984
10	96	8654
11	101	8396
12	107	8180
13	113	7978
14	118	7810
15	124	7672
16	130	7565
17	136	7437
18	142	7332
19	147	7227
20	153	7143
21	158	7065
22	164	6993
23	170	6924
24	175	6857
25	181	6804
26	187	6749
27	192	6672
28	198	6636
29	204	6607
30	210	6572
31	216	6556
32	222	6520
33	228	6480
34	233	6435
35	239	6411
36	245	6392
37	251	6369
38	257	6340
39	262	6307
40	268	6282
41	274	6255
42	280	6231
43	285	6204
44	291	6186
45	297	6179
46	305	6186
47	311	6182
48	317	6157
49	322	6132
50	328	6104
51	334	6099
52	341	6102
53	348	6108
54	354	6091
55	360	6079
56	366	6068
57	372	6050
58	378	6035
59	383	6014
60	389	6003
61	395	5987
62	401	5975
63	407	5964
64	413	5947
65	419	5933
66	425	5920
67	431	5908
68	436	5894
69	443	5886
70	448	5873
71	454	5855
72	460	5842
73	465	5825
74	471	5817
75	476	5797
76	482	5780
77	488	5773
78	494	5763
79	500	5750
80	506	5741
81	510	5719
82	516	5708
83	521	5690
84	527	5682
85	533	5674
86	539	5663
87	544	5641
88	549	5628
89	555	5611
90	559	5593
91	565	5577
92	569	5555
93	574	5535
94	579	5517
95	584	5501
96	589	5485
97	594	5472
98	599	5453
99	603	5432
100	608	5411
101	612	5396
102	618	5383
103	623	5368
104	628	5353
105	632	5334
106	636	5315
107	641	5301
108	646	5286
109	650	5261
110	654	5238
111	658	5220
112	663	5206
113	667	5191
114	673	5179
115	677	5162
116	681	5146
117	687	5135
118	692	5123
119	696	5108
120	701	5097
121	706	5085
122	711	5075
123	716	5065
124	722	5056
125	727	5047
126	732	5036
127	738	5027
128	743	5019
129	748	5011
130	754	5004
131	759	4992
132	763	4979
133	769	4971
134	774	4960
135	778	4945
136	783	4932
137	788	4922
138	793	4915
139	798	4905
140	804	4898
141	808	4887
142	814	4882
143	820	4879
144	826	4875
145	835	4886
146	841	4882
147	847	4878
148	852	4867
149	857	4859
150	862	4847
151	866	4835
152	871	4824
153	876	4813
154	880	4802
155	885	4789
156	890	4779
157	895	4770
158	899	4756
159	903	4744
160	908	4731
161	911	4717
162	915	4703
163	920	4690
164	925	4683
165	930	4675
166	935	4666
167	941	4661
168	946	4651
169	950	4642
170	956	4634
171	960	4626
172	966	4618
173	971	4611
174	975	4600
175	979	4587
176	983	4575
177	988	4566
178	993	4556
179	998	4549
180	1003	4540
181	1008	4532
182	1012	4522
183	1018	4514
184	1023	4508
185	1028	4499
186	1033	4491
187	1037	4483
188	1042	4471
189	1046	4461
190	1050	4449
191	1055	4441
192	1059	4430
193	1064	4423
194	1069	4415
195	1074	4407
196	1079	4401
197	1084	4393
198	1089	4385
199	1094	4377
200	1099	4369
201	1103	4359
202	1107	4348
203	1112	4339
204	1116	4328
205	1121	4324
206	1126	4317
207	1131	4309
208	1136	4301
209	1141	4294
210	1146	4286
211	1151	4280
212	1155	4270
213	1161	4264
214	1166	4257
215	1170	4249
216	1174	4239
217	1179	4231
218	1185	4227
219	1190	4219
220	1194	4211
221	1200	4207
222	1205	4199
223	1210	4192
224	1215	4185
225	1220	4178
226	1226	4175
227	1230	4166
228	1235	4158
229	1239	4149
230	1244	4142
231	1249	4137
232	1254	4130
233	1259	4121
234	1262	4110
235	1267	4104
236	1272	4097
237	1277	4090
238	1282	4084
239	1287	4076
240	1292	4071
241	1298	4068
242	1303	4060
243	1308	4053
244	1313	4047
245	1318	4042
246	1323	4035
247	1328	4027
248	1333	4020
249	1337	4013
250	1341	4004
251	1346	3995
252	1350	3987
253	1355	3980
254	1360	3974
255	1365	3967
256	1369	3960
257	1375	3954
258	1379	3946
259	1384	3939
260	1389	3932
261	1394	3928
262	1399	3921
263	1404	3914
264	1408	3907
265	1413	3900
266	1418	3894
267	1423	3888
268	1428	3880
269	1432	3871
270	1437	3866
271	1441	3859
272	1447	3853
273	1452	3848
274	1456	3840
275	1461	3833
276	1468	3832
277	1475	3831
278	1481	3827
279	1486	3823
280	1492	3818
281	1496	3811
282	1501	3804
283	1506	3797
284	1511	3791
285	1516	3785
286	1520	3778
287	1524	3770
288	1529	3763
289	1534	3756
290	1539	3750
291	1543	3743
292	1548	3736
293	1553	3730
294	1558	3724
295	1563	3718
296	1568	3712
297	1572	3705
298	1577	3698
299	1582	3693
300	1588	3689
301	1593	3682
302	1598	3676
303	1602	3669
304	1608	3665
305	1613	3659
306	1618	3654
307	1623	3648
308	1628	3642
309	1633	3635
310	1638	3629
311	1642	3622
312	1647	3615
313	1651	3607
314	1655	3600
315	1659	3593
316	1664	3585
317	1668	3577
318	1673	3571
319	1677	3564
320	1681	3556
321	1685	3548
322	1690	3542
323	1694	3535
324	1698	3527
325	1703	3522
326	1708	3516
327	1712	3508
328	1716	3500
329	1721	3494
330	1725	3488
331	1729	3480
332	1733	3472
333	1738	3465
334	1742	3458
335	1746	3450
336	1751	3444
337	1755	3438
338	1760	3433
339	1769	3434
340	1776	3432
341	1781	3428
342	1786	3421
343	1791	3415
344	1795	3408
345	1800	3402
346	1814	3414
347	1820	3410
348	1824	3403
349	1829	3397
350	1834	3392
351	1839	3386
352	1845	3382
353	1851	3379
354	1857	3374
355	1862	3369
356	1867	3364
357	1874	3361
358	1880	3357
359	1885	3352
360	1891	3348
361	1896	3342
362	1900	3335
363	1905	3329
364	1909	3322
365	1914	3315
366	1918	3309
367	1923	3304
368	1928	3298
369	1934	3293
370	1938	3286
371	1942	3279
372	1947	3273
373	1952	3267
374	1957	3262
375	1962	3256
376	1967	3251
377	1972	3246
378	1977	3239
379	1982	3234
380	1986	3227
381	1990	3220
382	1994	3212
383	1998	3205
384	2002	3199
385	2007	3192
386	2011	3186
387	2017	3181
388	2022	3176
389	2026	3170
390	2032	3165
391	2037	3160
392	2042	3154
393	2047	3148
394	2051	3142
395	2055	3135
396	2060	3129
397	2065	3124
398	2070	3119
399	2076	3114
400	2081	3109
401	2086	3103
402	2090	3096
403	2095	3091
404	2099	3084
405	2103	3078
406	2108	3071
407	2112	3065
408	2116	3058
409	2120	3051
410	2124	3044
411	2128	3037
412	2132	3031
413	2136	3024
414	2141	3018
415	2146	3013
416	2150	3007
417	2155	3001
418	2160	2996
419	2165	2990
420	2171	2986
421	2175	2980
422	2180	2974
423	2185	2968
424	2190	2963
425	2195	2958
426	2200	2952
427	2205	2948
428	2210	2942
429	2215	2937
430	2220	2931
431	2225	2926
432	2230	2921
433	2236	2916
434	2241	2911
435	2246	2906
436	2252	2901
437	2257	2896
438	2262	2890
439	2267	2885
440	2272	2880
441	2277	2874
442	2282	2869
443	2287	2864
444	2292	2858
445	2296	2853
446	2301	2847
447	2306	2842
448	2312	2837
449	2316	2831
450	2321	2825
451	2326	2820
452	2331	2815
453	2336	2809
454	2341	2804
455	2346	2799
456	2351	2794
457	2356	2788
458	2361	2783
459	2366	2777
460	2370	2771
461	2376	2767
462	2381	2762
463	2385	2756
464	2390	2750
465	2395	2744
466	2401	2741
467	2409	2739
468	2414	2734
469	2419	2728
470	2426	2725
471	2432	2720
472	2438	2716
473	2443	2711
474	2449	2707
475	2454	2702
476	2459	2696
477	2464	2690
478	2469	2685
479	2474	2680
480	2479	2675
481	2485	2671
482	2490	2665
483	2493	2658
484	2497	2652
485	2502	2646
486	2507	2640
487	2511	2634
488	2515	2628
489	2519	2621
490	2522	2615
491	2527	2609
492	2532	2604
493	2537	2598
494	2542	2593
495	2546	2588
496	2551	2581
497	2554	2575
498	2559	2569
499	2564	2564
500	2569	2558
501	2574	2553
502	2579	2548
503	2583	2542
504	2589	2538
505	2594	2533
506	2603	2531
507	2608	2526
508	2613	2520
509	2617	2515
510	2622	2509
511	2626	2503
512	2630	2497
513	2634	2491
514	2638	2485
515	2643	2479
516	2647	2473
517	2651	2467
518	2655	2461
519	2659	2455
520	2663	2448
521	2668	2443
522	2673	2437
523	2678	2432
524	2683	2427
525	2688	2422
526	2694	2418
527	2700	2413
528	2707	2410
529	2712	2405
530	2719	2402
531	2725	2398
532	2731	2392
533	2736	2387
534	2740	2382
535	2745	2376
536	2749	2370
537	2754	2365
538	2759	2359
539	2763	2354
540	2768	2348
541	2773	2343
542	2778	2338
543	2785	2334
544	2791	2330
545	2797	2326
546	2802	2320
547	2806	2314
548	2810	2309
549	2815	2303
550	2819	2297
551	2823	2291
552	2827	2285
553	2831	2279
554	2835	2273
555	2839	2267
556	2844	2262
557	2848	2256
558	2852	2250
559	2856	2244
560	2861	2239
561	2865	2233
562	2869	2227
563	2873	2221
564	2877	2215
565	2882	2210
566	2887	2204
567	2891	2198
568	2895	2193
569	2899	2187
570	2905	2182
571	2909	2177
572	2914	2172
573	2919	2166
574	2924	2161
575	2928	2156
576	2933	2150
577	2937	2144
578	2941	2139
579	2945	2133
580	2949	2127
581	2953	2121
582	2958	2116
583	2962	2110
584	2967	2105
585	2972	2100
586	2977	2094
587	2982	2089
588	2987	2084
589	2991	2078
590	2995	2073
591	3000	2067
592	3004	2062
593	3010	2057
594	3015	2052
595	3020	2047
596	3025	2042
597	3030	2037
598	3035	2032
599	3040	2027
600	3046	2022
601	3050	2016
602	3055	2011
603	3059	2005
604	3064	2000
605	3068	1994
606	3072	1989
607	3077	1984
608	3082	1979
609	3087	1973
610	3092	1968
611	3097	1963
612	3102	1958
613	3106	1953
614	3111	1947
615	3116	1942
616	3121	1937
617	3127	1933
618	3132	1928
619	3137	1923
620	3143	1918
621	3148	1913
622	3153	1908
623	3159	1903
624	3164	1898
625	3171	1894
626	3176	1889
627	3182	1884
628	3188	1880
629	3193	1875
630	3198	1870
631	3204	1865
632	3209	1860
633	3214	1855
634	3219	1850
635	3224	1845
636	3230	1840
637	3235	1836
638	3240	1830
639	3245	1825
640	3250	1820
641	3255	1815
642	3259	1809
643	3266	1805
644	3270	1800
645	3275	1794
646	3280	1789
647	3284	1784
648	3288	1778
649	3292	1772
650	3297	1767
651	3302	1762
652	3307	1757
653	3313	1752
654	3317	1747
655	3322	1742
656	3326	1736
657	3331	1731
658	3335	1725
659	3338	1720
660	3344	1715
661	3350	1710
662	3355	1705
663	3359	1700
664	3364	1694
665	3368	1689
666	3373	1684
667	3378	1678
668	3383	1673
669	3394	1671
670	3399	1666
671	3405	1662
672	3410	1656
673	3414	1651
674	3420	1646
675	3425	1641
676	3429	1636
677	3433	1630
678	3438	1625
679	3442	1619
680	3446	1614
681	3451	1609
682	3455	1603
683	3460	1598
684	3465	1593
685	3470	1588
686	3474	1583
687	3478	1577
688	3483	1572
689	3487	1566
690	3490	1561
691	3494	1555
692	3498	1549
693	3502	1544
694	3506	1538
695	3510	1533
696	3515	1528
697	3519	1522
698	3523	1517
699	3528	1512
700	3532	1506
701	3536	1501
702	3540	1495
703	3546	1490
704	3550	1485
705	3555	1480
706	3560	1475
707	3565	1470
708	3570	1465
709	3575	1460
710	3580	1455
711	3585	1450
712	3590	1445
713	3594	1439
714	3598	1434
715	3601	1428
716	3606	1423
717	3610	1418
718	3615	1412
719	3619	1407
720	3623	1402
721	3627	1396
722	3631	1391
723	3636	1386
724	3641	1381
725	3646	1376
726	3650	1370
727	3654	1365
728	3659	1360
729	3663	1354
730	3667	1349
731	3671	1344
732	3675	1338
733	3679	1333
734	3683	1328
735	3688	1322
736	3691	1317
737	3695	1312
738	3700	1306
739	3704	1301
740	3708	1296
741	3712	1290
742	3716	1285
743	3721	1280
744	3725	1275
745	3730	1270
746	3752	1271
747	3757	1265
748	3762	1260
749	3767	1255
750	3772	1250
751	3777	1245
752	3783	1241
753	3788	1236
754	3793	1231
755	3798	1226
756	3802	1220
757	3806	1215
758	3811	1210
759	3815	1204
760	3819	1199
761	3823	1194
762	3828	1189
763	3832	1184
764	3837	1178
765	3842	1173
766	3847	1168
767	3852	1163
768	3856	1158
769	3861	1153
770	3867	1148
771	3872	1143
772	3877	1138
773	3882	1133
774	3886	1128
775	3890	1123
776	3894	1117
777	3898	1112
778	3904	1107
779	3909	1102
780	3914	1097
781	3919	1092
782	3925	1087
783	3929	1082
784	3934	1077
785	3939	1072
786	3944	1067
787	3948	1062
788	3953	1057
789	3957	1052
790	3961	1046
791	3966	1041
792	3970	1036
793	3974	1031
794	3978	1025
795	3983	1020
796	3988	1015
797	3992	1010
798	3996	1005
799	4001	1000
800	4005	995
801	4009	989
802	4014	984
803	4018	979
804	4023	974
805	4028	969
806	4033	964
807	4038	959
808	4043	954
809	4048	949
810	4053	944
811	4058	939
812	4063	934
813	4067	929
814	4071	924
815	4077	919
816	4082	914
817	4086	909
818	4091	904
819	4096	899
820	4101	894
821	4106	889
822	4111	884
823	4115	879
824	4120	874
825	4126	869
826	4131	864
827	4136	859
828	4141	854
829	4146	849
830	4150	844
831	4155	839
832	4160	834
833	4164	828
834	4168	823
835	4173	818
836	4178	813
837	4184	809
838	4191	804
839	4194	799
840	4199	793
841	4203	788
842	4208	783
843	4213	778
844	4217	773
845	4222	768
846	4227	763
847	4231	758
848	4235	753
849	4240	748
850	4244	743
851	4249	738
852	4253	733
853	4257	727
854	4261	722
855	4266	717
856	4270	712
857	4274	707
858	4279	702
859	4283	697
860	4288	692
861	4293	687
862	4298	682
863	4302	677
864	4306	672
865	4310	666
866	4315	662
867	4320	656
868	4323	651
869	4328	646
870	4333	641
871	4338	636
872	4343	631
873	4347	626
874	4352	621
875	4356	616
876	4361	611
877	4366	606
878	4370	601
879	4375	596
880	4381	591
881	4386	586
882	4391	581
883	4395	576
884	4398	571
885	4402	566
886	4407	561
887	4412	556
888	4417	551
889	4421	546
890	4426	541
891	4431	536
892	4436	531
893	4441	526
894	4445	521
895	4450	516
896	4454	511
897	4458	506
898	4462	501
899	4466	496
900	4471	491
901	4475	486
902	4479	481
903	4483	476
904	4487	471
905	4491	466
906	4497	461
907	4502	456
908	4506	451
909	4511	446
910	4516	441
911	4521	436
912	4525	431
913	4530	426
914	4535	421
915	4540	416
916	4545	411
917	4550	406
918	4555	401
919	4560	396
920	4565	391
921	4569	386
922	4574	381
923	4579	376
924	4584	371
925	4589	366
926	4593	361
927	4598	356
928	4602	351
929	4606	346
930	4612	341
931	4617	336
932	4622	331
933	4627	326
934	4632	322
935	4636	317
936	4641	312
937	4646	307
938	4650	302
939	4654	297
940	4658	292
941	4662	287
942	4666	282
943	4670	277
944	4675	272
945	4679	267
946	4684	262
947	4689	257
948	4693	252
949	4698	247
950	4702	242
951	4707	237
952	4711	232
953	4715	227
954	4719	222
955	4723	217
956	4728	212
957	4735	207
958	4741	202
959	4747	197
960	4752	192
961	4755	187
962	4760	182
963	4764	177
964	4770	173
965	4775	168
966	4780	163
967	4785	158
968	4790	153
969	4795	148
970	4800	143
971	4805	138
972	4809	133
973	4813	128
974	4817	123
975	4822	118
976	4827	113
977	4832	108
978	4837	103
979	4841	98
980	4846	93
981	4850	88
982	4854	83
983	4858	78
984	4862	74
985	4867	69
986	4871	64
987	4876	59
988	4880	54
989	4884	49
990	4889	44
991	4893	39
992	4899	34
993	4903	29
994	4908	24
995	4913	19
996	4918	14
997	4923	9
998	4927	4
999	4932	0
